channelId,title,channelTitle,publishedAt
"UCADZVxC_4omYiNDLcsDoCeg","KAGET PAS DENGAR PENJUAL ES INI NGOMONG, TERNYATA FASIH BHS JEPANG!!","Londokampung","2021-07-13T11:00:24Z"
"UCYRZrmjJOX3NDxt2UdFKy0Q","Lionel Messi Celebrations & Crazy Moments After Winning !","BD10HD","2021-07-11T03:27:00Z"
"UChFv0WPR47xMAPpCJWUgk1Q","Esa Risty - Lebu (Official Music Video) | Goyang Mletree Asekk Bosque","Esa Risty Official","2021-07-14T02:00:12Z"
"UCrEtZcG9h9lx9oqQhros_Dg","NGERI! Ratusan Ojol vs Debt Collector Bentrokan di Mangga Besar, Jakpus #SIP 07/07","Seputar iNews","2021-07-07T03:41:14Z"
"UCEa5arMfQcOrmHGwh2cVbHw","Esa Risty - Kelangan | Koplo Version (Official Music Video)","ARD Management","2021-07-15T01:00:19Z"
"UCq2qjWz4wHTLOPtRGdsWgBA","My Stanford Graduation - What I learned","Maudy Ayunda","2021-07-12T03:00:11Z"
"UCoSkllfpgmFHtbVK835QaQg","Astaga! Habis Razia PPKM, Petugas Dishub Langgar PPKM Kini Dipecat #iNewsSore 09/07","Official iNews","2021-07-09T12:54:53Z"
"UC8t925VdEYkPkNrgAc9TTUw","HAPPY ASMARA - EMAS HANTARAN [ Remix Jhandut ] ( Official Music Video )","FORTUNA ENTERPRISE","2021-07-13T08:00:14Z"
"UCRvcjozVQBiOMQ4UyoAy-fA","Angel - Woro Widowati ft Dangduters Band","WORO WIDOWATI OFFICIAL","2021-07-15T08:00:13Z"
"UC-AlofdKECUdhXrbJQZ6iEg","Måneskin - Beggin' (Lyrics/Testo)","LatinHype","2021-07-15T21:10:57Z"
"UCxtuzvYz8iSZskiRa01t7zg","CUCURUTUT Charity Stream 12 Jam untuk Lawan COVID-19 di Indonesia","Christopher Devin","2021-07-16T18:39:42Z"
"UChDuhCkrQ8IhdzSh2X7CkWg","Rizky Febian, Ziva Magnolya - Terlukis Indah (Official Lyric Video)","ZivaMagnolyaVEVO","2021-07-08T17:00:35Z"
"UCE6zDe5DgDoic9xQYDqLNGQ","KRETEK ABAL2 IRFAN HAKIM DEPAN MEGATANK! REQUEST KALIAN!","BEEMZ ARYO","2021-07-15T08:52:09Z"
"UC0jPwNs4B7yJySNewHan5hQ","HIGHLIGHTS: Argentina v Brazil | Copa America Final","Optus Sport","2021-07-11T02:54:58Z"
"UCvR2R7j218tzejtTsb_X6Rw","Here's Your Perfect - Jamie Miller (Lyrics) 🎵","DopeLyrics","2021-07-15T16:52:14Z"
"UC7FE8E7nCP-sJO8o4FTo93Q","DC MUSIK || TOMPEL Ft. VITA ALVIA - BODO AMAT (OFFICIAL LIVE MUSIC)","DC. PRODUCTION","2021-07-14T12:00:11Z"
"UC3IZKseVpdzPSBaWxBxundA","BTS (방탄소년단) 'Permission to Dance' Official Teaser","HYBE LABELS","2021-07-06T15:00:03Z"
"UCX7RJTce2MLIfE4e8QxRl4g","KUAT ATI (Pujaan Hati Tak Suwun Sing Kuat Ati) | KALIA SISKA FT SKA 86 | KENTRUNG VERSION","UYE tone","2021-07-11T12:00:14Z"
"UC4x-hPeNK61k61xgChcVGNA","Balungan Kere | Woro Widowati Feat Wandra | New Pallapa Official | Album Terkoplo 2021","New Pallapa Official","2021-07-09T03:00:14Z"
"UC6FjcBcH9NVHdfFSvNfHmuA","SEMPROD: ANDHIKA BORIS GAK PERCAYA GADING NANGIS DIPUTUSIN PACAR! UUS PERNAH BACKSTREET SAMA ARTIS?!","KUY Entertainment","2021-07-14T12:00:17Z"
"UCaxNFw2ryxzjSAxRVP-0Dfg","Saat Teduh Bersama - PEMBELAKU SAAT KU JATUH | 14 Juli 2021 (Official Philip Mantofa)","Philip Mantofa","2021-07-14T13:24:03Z"
"UCbPryJBU1M6mfYJXVYsSKow","PPMM (Peraturan Pemimpin Memiskinkan yang Miskin) - KOMEDI ARYKAKUL","ARYKAKUL BALI","2021-07-14T13:28:34Z"
"UC7Zgj5p9QOuz65oDU51Jlng","GADUH #2","Rana Films","2021-07-07T09:23:53Z"
"UC2sVRtimSUdDN2myZ6Cf03w","Nella Kharisma Feat. Dory Harsa - Ngidam Pentol [OFFICIAL]","Nella Kharisma Official","2021-07-05T12:00:15Z"
"UC0Fkh072D94BNdBM2bNrz_Q","DJ SETIAP YANG KU LAKUKAN  UNTUK DIRIMU VIRAL TIKTOK BAHAGIA SLOW BEAT SYAHDU","KELUD PRODUCTION","2021-07-14T05:12:42Z"
"UC4x-hPeNK61k61xgChcVGNA","New Pallapa Official | Angel - Wandra Feat Esa Risty | Album Terkoplo 2021","New Pallapa Official","2021-07-13T04:00:14Z"
"UC9JY9P4rTWxptNDqMVq6uDQ","Bringing Down the House #shorts","Goodwin Family","2021-07-04T06:47:53Z"
"UCgFvT6pUq9HLOvKBYERzXSQ","These Indonesian Bassists Must Be STOPPED","Davie504","2021-07-10T13:00:35Z"
"UCgiO267R4Qo-SJF2UzH5ccQ","Ngeri! Kasus-Kasus Makan Makanan Super Pedas Ini Berujung Malapetaka","The Shiny Peanut","2021-07-10T05:30:09Z"
"UC8BBYSn3Hs0mWIYZngwRB2Q","PRAHARA RUMAH TANGGA  RUWET TV ","Ruwet TV","2021-07-14T06:07:27Z"
"UCGXnDxirLuSrIHwQXWxRzeg","BERUNTUNG VS APES || Momen Lucu yang Pernah Dialami Semua Orang oleh 123 GO Like!","123 GO LIKE! Indonesian","2021-07-08T11:54:04Z"
"UCekLikuCSxA_gB7MW4trIlQ","BAO Disney Pixar Short Film Official Promos | Incredibles 2 Bonus (2018) Animation Adventure HD","AniBox Trailer Access","2021-07-09T16:45:04Z"
"UC8h30UMUb7emuKob0OV_6zg","Tik Tok Thời Trang Con Nhà Nghèo Sáng Tạo Cực Chất P48 - Fashion for Poor People P48 - Tik Tok China","Mina Tik Tok","2021-07-09T00:00:08Z"
"UCamwEBao0i0J1_Nqf3beqgA","#suaratirta : TIPS ISOMAN COVID YANG BENAR","Tirta PengPengPeng","2021-07-09T11:58:24Z"
"UCcDhPsZnQKMn_4DfDBuYg1Q","HIGHLIGHTS ARGENTINA 1 (3) - (2) 1 COLOMBIA | COPA AMÉRICA 2021 | 06-07-21","Copa América","2021-07-07T04:10:01Z"
"UC8-Th83bH_thdKZDJCrn88g","BTS Dishes on Touring and Working with Ed Sheeran | The Tonight Show Starring Jimmy Fallon","The Tonight Show Starring Jimmy Fallon","2021-07-14T04:00:07Z"
"UC9vrvNSL3xcWGSkV86REBSg","Permission to Dance","BTS - Topic","2021-07-09T04:09:47Z"
"UCGXnDxirLuSrIHwQXWxRzeg","TANTANGAN SENI #2! || Tantangan Menggambar Lucu oleh 123 GO Like!","123 GO LIKE! Indonesian","2021-07-05T16:59:43Z"
"UCTkY7c2Spbl33NBbyQNGlZg","Yeni Inka - Jang Ganggu (Official Music Video)","Selosakti Records","2021-07-16T03:00:15Z"
"UCZW5lIUz93q_aZIkJPAC0IQ","Rich Brian, NIKI, & Warren Hue - CALIFORNIA [Jackson Wang Remix] 💔💔💔","88rising","2021-07-15T04:00:13Z"
"UC9GtSLeksfK4yuJ_g1lgQbg","aespa 에스파 l 태연 TAEYEON 'Weekend' MV Reaction","aespa","2021-07-15T11:00:17Z"
"UCYRZrmjJOX3NDxt2UdFKy0Q","Lionel Messi - Respect Moments Everyone Should Witness","BD10HD","2021-07-13T02:27:25Z"
"UCuTKrQEt651z729A9-S8hZw","청량미 가득💕 기타까지 완벽한 로제(ROSÉ)의 〈The Only Exception〉♬ 바라던 바다(sea of hope) 3회 | JTBC 210713 방송","바라던 바다","2021-07-13T14:44:01Z"
"UCqAbZgOUGWA1R4GMqcRFtsg","🔴EKSKLUSIF! AKHIRNYA W / WENNY ARIANI MUNCUL PERTAMA KALI DI DPN PUBLIK CERITAKAN REZKY! (PART 1)","Denny Darko","2021-07-07T12:00:12Z"
"UC8JlyvzVN8nJ1w8rGIjdGrQ","Pantas Wajah Bulenya Berbeda Dengan 4 Kakaknya, Ternyata Begini Silsilah Keluarga Nia Ramadhani","Tribun Manado Official","2021-07-08T08:23:18Z"
"UCzTsWuCdVP_vehWyGwPcS3Q","IKATAN CINTA - Kesal!! Bikin Mamanya Menangis, Reyna Marah Dan Gak Mau Ketemu Sama Nino","RCTI - LAYAR DRAMA INDONESIA","2021-07-14T17:20:01Z"
"UClMQ1QriptEXMpMBw_8EeqQ","Rossa - Wanita (Official Lyric Video)","Rossa Official","2021-07-16T05:00:21Z"
"UCEHprhvK2xu0CYKcnbMshBw","BALAI PERTEMUAN || KONTRAKAN REMPONG EPISODE  355","WARINTIL OFFICIAL","2021-07-14T03:00:14Z"
"UCkKbg-8rc_9IcHQzTsu1uLQ","KURANG AJAR ISTRI GW MAU DIBOOKING 20 JUTA!! @JASTIN11DC SAYA CARI ANDA!!","KR TV","2021-07-12T14:18:23Z"
"UCmxAIW7RDDC88EPk4ry16Kg","Oknum Satpol PP Gowa yang Pukul Pasutri Terancam Kurungan 5 Tahun, Polisi Ungkap Motif Pemukulan","Tribunnews.com","2021-07-16T03:19:16Z"
"UCR-hohVc5y6wdrFc99Lk1_Q","Terlibat Kasus Narkoba, Nia Ramadhani Diadukan Sopirnya #LIM 08/07","Lintas iNews","2021-07-09T01:36:56Z"
"UCLttSYJ6kPtlcurY96kXkQw","IL PRIMO TEST! | ROMA-MONTECATINI  10-0","AS Roma","2021-07-15T18:40:10Z"
"UCxmrFvg9g2jdErW587nm7-g","Panggilan Spesial Fiki Naki untuk Luna Maya | TS Talks Eps.30","TS Media","2021-07-10T13:00:13Z"
"UCxxnxya_32jcKj4yN1_kD7A","Tokyo Revengers - Episode 14 [Takarir Indonesia]","Muse Indonesia","2021-07-10T18:38:11Z"
"UC4x-hPeNK61k61xgChcVGNA","New Pallapa Official | Menungso Ora Toto | Shepin misa | Album Terkoplo 2021","New Pallapa Official","2021-07-16T03:18:35Z"
"UCwD9E_QNwFwrQC7OnPnrg2Q","Euro 2020 final: Italy and England fans react to final penalty kick","Guardian Sport","2021-07-11T23:15:32Z"
"UC7uo2PDGc-KBiHdjKcTzWRQ","Sasya Arkhisna - Lemah Teles (Official Music Video Langit Biru Record)","Langit Biru Record","2021-07-13T11:30:15Z"
"UC9rMiEjNaCSsebs31MRDCRA","Hyunjin Play With Fire (Feat. Yacht Money) (원곡 : Sam Tinnesz) | [Stray Kids : SKZ-PLAYER]","Stray Kids","2021-07-09T14:59:57Z"
"UCER4rvDnRBPr_ncYW4UCZjg","Soal Kasus Pemukulan Oknum Satpol PP di Gowa, Korban: Istri Saya Syok Berat Sampai Dilarikan ke RS","tvOneNews","2021-07-15T13:42:54Z"
"UC7Zgj5p9QOuz65oDU51Jlng","GADUH #1","Rana Films","2021-07-05T13:41:41Z"
"UCvWuQfTMrRny57Cl3qtEmmg","Italy vs England - Penalty Shootout - Final EURO 2020 - eFootball PES 2021","Football TV","2021-07-11T14:51:55Z"
"UCk3JZr7eS3pg5AGEvBdEvFg","KING FISH GRILL | Spanish Mackerel Fish Grill with Banana Leaf | Fish Fry Recipe Cooking In Village","Village Cooking Channel","2021-07-14T14:08:30Z"
